sent;sentcorrect;level
Ich denke dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;Ich denke, dass er entweder in einem Flieger ist, oder bereits in Island chillt, wie er vorher mit seinen Plänen gemeint hat.;1
Leo will er dem neuen Mitbewohner lieber nicht begegnen.;Leo will  dem neuen Mitbewohner lieber nicht begegnen.;2
Leo will d mitem neuen Mitbewohner lieber nicht begegnen.;Leo will dem neuen Mitbewohner lieber nicht begegnen.;2
2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, nach dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;2
2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;2019 habe ich einen Sommerjob als Zimmermädchen im Hotel PITER INN bekommen, seit dem Beginn meines Studiums musste ich auf einen Teilzeitjob umsteigen.;1
Benno hängt am Hund, er verbringt gerne Zeit damit.;Benno hängt am Hund, er verbringt gerne Zeit mit ihm.;2
Vielleicht, wurde Fips sein bester Freund.;Vielleicht wurde Fips sein bester Freund.;1
Vielleicht Fips wurde sein bester Freund.;Vielleicht wurde Fips sein bester Freund.;2
Aber zur Zeit hat Benno einen Job auf der Messe hanseboot.;"Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";2
Kleine Wohnung üb der Kneipe Leo & Co, wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;Kleine Wohnung üb der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;1
Kleine Wohnung üb er der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;Kleine Wohnung üb der Kneipe Leo & Co., wenig Miete. Er bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;2
Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von morgens 7 Uhr bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;2
Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends Anna ist Studentin und jobbt auch bei Leo&Co.;Acht Tage Aufbau, eine Woche Messe, drei Tage Abbau, jeden Tag 15 – 16 Stunden Arbeit, von 7 Uhr morgens bis 10 oder 11 Uhr abends. Anna ist Studentin und jobbt auch bei Leo&Co.;1
Olli hat auf der hanseboot gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.;"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";2
"Olli hat auf der ""Hanseboot"" gejobbt jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";2
"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte vier Wochen oder länger nach Island fahren.";"Olli hat auf der ""Hanseboot"" gejobbt, jeden Tag fast 16 Stunden, und möchte für vier Wochen oder länger nach Island fahren.";2
Rudi braucht das Geld für das/sein Studium.;Rudi braucht das Geld für sein Studium.;1
Das war, als ich 18 Jahre war.;Das war, als ich 18 Jahre alt war.;2
Ich arbeitete als eine Kellnerin in einem Restaurant.;Ich arbeitete als Kellnerin in einem Restaurant.;1
"Privat: Er wird Geld auf die Bank legen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";2
"Privat: Er wird Geld auf die Bank liegen lassen Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";1
Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe hanseboot.;"Privat: Er wird Geld auf die Bank liegen lassen. Arbeit: Benno wohnt in einer kleinen Wohnung über dem Lokal Leo & Co. Aber zur Zeit hat Benno einen Job auf der Messe ""Hanseboot"".";2
ich habe dearbeitet an der Rezeption in Hotel und Ich habe als Kellner gearbeitet.;ich habe an der Rezeption in einem Hotel gearbeitet und Ich habe als Kellner gearbeitet.;2
Ich wurde für meine Arbeit nicht bezahlt.;Meine Arbeit wurde nicht bezahlt.;2
Rudi brauch Geld für Studium.;Rudi braucht Geld für Studium.;2
Ich arbeite jetzt im zweiten Jahr im Musiktheater.;Ich arbeite jetzt seit zwei Jahren im Musiktheater.;2
Ich arbeite jetzt seit zwei Jahren am Musiktheater.;Ich arbeite jetzt seit zwei Jahren im Musiktheater.;2
Im Sommer habe ich während meiner Praxis in einem Restaurant gearbeitet.;Im Sommer habe ich während meines Praktikums in einem Restaurant gearbeitet.;3
Dann ging Benno in sein Zimmer und fand dort ein Karton mit einem Welpen.;Dann ging Benno in sein Zimmer und fand dort einen Karton mit einem Welpen.;2
Fast sechs Jahren arbeite ich 4 bis 10 Stunden täglich von 10 Uhr morgens bis 9 Uhr abends in einem Bekleidungsgeschäft.;Fast sechs Jahre arbeite ich 4 bis 10 Stunden täglich von 10 Uhr morgens bis 9 Uhr abends in einem Bekleidungsgeschäft.;2
Ich bereite das Produkt für den Verkauf vor und präsentiere im Verkaufsraum.;Ich bereite das Produkt für den Verkauf vor und präsentiere es im Verkaufsraum.;2
In dieser Geschichte bekommter plötzlich einen neuen Mitbewohner und einige Probleme.;In dieser Geschichte bekommt er plötzlich einen neuen Mitbewohner und einige Probleme.;2
Ich interessiere mich fur Theater und besuche Theater gern.;Ich interessiere mich fuer Theater und besuche Theater gern.;1
Wenn besuchte Ich Theater, war das ueber den zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;2
Wenn ich Theater besuchte, das war ueber den zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;2
Wenn ich Theater besuchte, war das ueber zweiten Weltkrieg in Karelia.;Wenn ich Theater besuchte, war das ueber den zweiten Weltkrieg in Karelia.;1
Das war ein Theaterstück, wenn Frauen kriegten.;Im Theaterstück ging es darum, wie Frauen im Krieg kämpften.;3
Die Schauspielerinen sind schoen und talentiert.;Die Schauspielerinnen sind schoen und talentiert.;1
Ich und meine Freunde ass viele belegte Brötchen und tranken Saft.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;2
Ich und meine Freunde aßen viele Buterbroten und tranken Saft.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;2
Ich und meine Freunde aßen viele belegte Brötchen und Saft getrunken.;Ich und meine Freunde aßen viele belegte Brötchen und tranken Saft.;2
Das war ein Drama.;Das Theaterstück war ein Drama.;3
Der Zuschauerraum war gefüllt.;Der Zuschauerraum war voll.;2
Das letzte Mal, dass ich das Theater besucht habe, ist zwei oder drei Jahre her.;Das letzte Mal, als ich das Theater besucht habe, ist zwei oder drei Jahre her.;2
Theater sind also nichts für mich.;Theater sind also nicht für mich.;1
Eines Tages besuchten ich und meine Klassenkameradin Julia das Musiktheater.;Eines Tages besuchten ich und meine Kommilitoini Julia das Musiktheater.;2
Es war das erste Mal, dass ich das Theater besuchte.;Es war das erste Mal, als ich das Theater besuchte.;2
Dann begann die Inszenierung und ich war voll in den Prozess involviert.;Dann begann die Inszenierung, und ich war voll in den Prozess involviert.;1
Abschließend werde ich sagen, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;3
Abschließend sage ich, dass ich diesen Theaterstuck sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;2
Abschließend sage ich, dass ich dieses Theaterstück mochte sehr und es hat bei mir viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;2
Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat mich viele Emotionen hervorgerufen.;Abschließend sage ich, dass ich dieses Theaterstück sehr mochte und es hat bei mir viele Emotionen hervorgerufen.;2
In der Schule gingen wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;2
In der Schule fuhren wir alle Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;2
In der Schule fuhren wir mit der ganzen Klasse nach Sortaval für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;In der Schule fuhren wir mit der ganzen Klasse nach Sortawala für ein Stück nach der Geschichte von Boris Vasilyev Und die Morgendämmerung ist hier ruhig.;1
Auf der Bühne gab es wenig Kulissen.;Auf der Bühne gab es wenige Kulissen.;1
Auch sie hatten gute Kostüme und Make-up.;Sie hatten außerdem gute Kostüme und Make-up.;2
Auch Kinder aus anderen Schulen sprachen manchmal sehr laut und störten alles.;Auch Kinder aus anderen Schulen sprachen manchmal sehr laut und störten alle.;2
Dann gefiel mir das Theaterstück und diese Atmosphäre sehr gut.;So gefiel mir das Theaterstück und diese Atmosphäre sehr gut.;2
Ich bin Tänzerin und trete oft auf der Bühne unseres Theaters.;Ich bin Tänzerin und trete oft auf der Bühne unseres Theaters auf..;2
Ich habe das Stück und die Spiel der Schauspieler genossen.;Ich habe das Stück und das Spiel der Schauspieler genossen.;2
Das Publikum war mit der Stüch zufrieden.;Das Publikum war mit dem Stück zufrieden.;2
Der ganze Saal applaudiert stehend.;Der ganze Saal applaudierte stehend.;2
Hervorgegangen aus dem Theater habe ich sofort meine Eindrücke geteilt.;Beim Herauskommen aus dem Theater habe ich sofort meine Eindrücke geteilt.;2
Beim Herauskommen aus dem Theater habe ich sofort teilten Ihre Eindrücke.;Beim Herauskommen aus dem Theater habe ich sofort meine Eindrücke geteilt.;2
Mein Lieblingsgenre Horrorfilm oder Thriller ist, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;2
Mein Lieblingsgenre ist Horrorfilm oder Thriller und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;1
Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich normalerweise Dokumentarfilme nicht sehen, dieser Film hat mir aber sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;2
Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, hat mir dieser Film sehr gut gefallen.;Mein Lieblingsgenre ist Horrorfilm oder Thriller, und ich sehe normalerweise Dokumentarfilme nicht, dieser Film hat mir aber sehr gut gefallen.;2
Das letzte Mal war ich schon lange im Theater.;Das letzte Mal war ich schon lange her im Theater.;2
Ich kann mich nicht erinnern, was das Stück es war.;Ich kann mich nicht erinnern, was für ein Stück es war.;2
Ich kann mich nicht erinnern, was für ein Stück war.;Ich kann mich nicht erinnern, was für ein Stück es war.;2
Es hat mir gefallen und ich wollte Schauspielerin werden.;Es hat mir gefallen, und ich wollte Schauspielerin werden.;1
"Sie spielten eine Tragödie namens ""Cyrano"".";"Man spielte eine Tragödie namens ""Cyrano"".";2
Man spielte eine Tragödie namens Cyrano.;"Man spielte eine Tragödie namens ""Cyrano"".";1
Es dauerte zwei Stunden, aber sie unbemerkt vorbei gingen.;Es dauerte zwei Stunden, aber sie gingen unbemerkt vorbei.;2
Die Schauspieler haben viele Vorhänge, sie bekommen Blumen.;Die Schauspieler kommen mehrmals auf die Bühne, sie bekommen Blumen.;3
Tickets sind ziemlich teue r und ich habe keine Zeit, um das Theater zu besuchen.;Tickets sind ziemlich teue, r und ich habe keine Zeit, um das Theater zu besuchen.;1
Es ist sehr schade, dass im Theater unserer Stadt die Plätze im Saal nicht sehr gut liegen.;Es ist sehr schade, dass im Theater unserer Stadt die Plätze im Saal nicht sehr gut angeordnet sind.;2
Normalerweise sehe ich die Szene nicht ganz, mich stören die Leute von vorne.;Normalerweise sehe ich die Bühne nicht ganz, mich stören die Leute von vorne.;2
Aber ich bin zufrieden, jetzt Zuschauer zu sein.;Aber ich bin zufrieden, jetzt Zuschauerin zu sein.;1
In den Hauptrollen - zwei Schwestern.;In den Hauptrollen waren zwei Schwestern.;2
Durch den Film dachte ich darüber nach, was für ein interessantes Leben die Hauptfiguren lebten.;Während des Films dachte ich darüber nach, was für ein interessantes Leben die Hauptfiguren lebten.;2
Ich mochte, wie der Film gedreht wurde.;Mir hat gefallen, wie der Film gedreht wurde.;2
Ich denke, es hatte einen Theaterfolg.;Ich denke, es hatte einen Theatererfolg.;2
Es war eine Komödie darum hat der Zuschauer gelacht.;Es war eine Komödie darum, hat der Zuschauer gelacht.;1
Es war eine Komödie,darum, hat der Zuschauer gelacht.;Es war eine Komödie darum, hat der Zuschauer gelacht.;1
Die Schauspieler hatten viele Vorhänge.;Die Schauspieler bekamen viele Vorhänge.;2
Das Stück wurde im Genre des Detektivs und der Komödie geschrieben.;Das Stück wurde im Genre des Krimis und der Komödie geschrieben.;2
Ich war in einer Musikschule und es war wichtig, einem Orchester zuzuhören.;Ich war in einer Musikschule, und es war wichtig, einem Orchester zuzuhören.;1
Ich war in einer Musikschule und es war wichtig, einem Orchester zuzuhören.;Ich war in einer Musikschule, und es war wichtig, einem Orchester zuzuhören.;1
Der Nussknacker ist mein Lieblingsneujahrsballett.;"""Der Nussknacker"" ist mein Lieblingsneujahrsballett.";1
"""Der Nussknacker"" ist mein Lieblings-Neujahrsballett.";"""Der Nussknacker"" ist mein Lieblingsneujahrsballett.";1
Im Musiktheater Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;2
Im Musiktheater von Karelien kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;2
Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Ausflug.;Im Musiktheater von Kareliens kann man nicht nur zu einem Theaterstück gehen, sondern auch zu einem Rundgang.;3
Das ist besonders für Kinder sehr interessant.;Das ist besonders für Kinder interessant.;2
sie kann sehen, was hinter den Kulissen passiert, Trainingsräume und sogar können Sie in die Orchestergrube gehen.;sie können sehen, was hinter den Kulissen passiert, Trainingsräume und sogar können Sie in die Orchestergrube gehen.;2
Ich war schon lange nicht mehr im Theater, aber ich würde gerne Balletaufführung besuchen.;Ich war schon lange nicht mehr im Theater, aber ich würde gerne eine Balletaufführung besuchen.;1
Aber Theaterkarten für gute Plätze im Theater sind immer teuer;Aber Theaterkarten für gute Plätze im Theater sind immer teuer.;1
Ich interessiere mich fur Theater, aber ich gehe nicht oft ins Theater.;Ich interessiere mich für Theater, aber ich gehe nicht oft ins Theater.;1
Ich interessiere mich für Theater aber ich gehe nicht oft ins Theater.;Ich interessiere mich für Theater, aber ich gehe nicht oft ins Theater.;1
Besuche ich das Theater nicht allein.;Ich besuche das Theater nicht allein.;2
Ich k auf e die Theaterkarten im Vorverkauf auf.;Ich k e die Theaterkarten im Vorverkauf auf.;2
Ich gehe gerne in die Theateraufführung, die auf Büchern basieren, die ich gelesen habe.;Ich gehe gerne in die Theateraufführungen, die auf Büchern basieren, die ich gelesen habe.;2
Das letzte Mal, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;Das letzte Mal war es, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;2
Das letzte Mal war es, als ich Shakespeares Komödie 12 Night gesehen habe.;Das letzte Mal war es, als ich Shakespeares Komödie Was ihr wollt gesehen habe.;1
Der Schauspieler und die Schauspielerinen haben großartig gespielt.;Der Schauspieler und die Schauspielerinnen haben großartig gespielt.;1
Auch dieser Mann sieht, dass der Junge Brot und Tabak hat.;Dieser Mann sieht außerdem, dass der Junge Brot und Tabak hat.;2
